TransactionID,CustomerID,TransactionDate,ProductID,Quantity,UnitPrice,TotalAmount,Rating,PaymentMethod
25,1241,2023-12-24 00:00:00,281,1,347.99,<function <lambda> at 0x7ebdb933e050>,4,12345
26,1137,2023-08-23 00:00:00,271,4,294.54,<function <lambda> at 0x7ebdb933e050>,5,
27,1344,2023-12-09 00:00:00,295,1,97.44,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
28,1179,2023-07-15 00:00:00,226,2,118.6,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
29,1496,2023-11-04 00:00:00,236,3,243.34,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
30,1199,2023-03-21 00:00:00,286,8,395.63,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
31,1202,2023-05-15 00:00:00,270,10,416.9,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
32,1060,2023-01-22 00:00:00,275,4,342.91,<function <lambda> at 0x7ebdb933e050>,N/A,
33,1191,InvalidDate,224,4,518.45,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
34,1004,2023-08-13 00:00:00,266,13,517.39,<function <lambda> at 0x7ebdb933e050>,1,PayPal
35,1377,2023-02-27 00:00:00,289,10,302.2,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
36,1236,2023-04-03 00:00:00,203,9,91.49,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
37,1180,2023-07-11 00:00:00,299,7,373.47,<function <lambda> at 0x7ebdb933e050>,5,PayPal
38,1310,2023-04-13 00:00:00,278,2,270.12,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
39,1036,2023-01-07 00:00:00,295,3,100.86,<function <lambda> at 0x7ebdb933e050>,1,PayPal
40,1055,2023-05-08 00:00:00,292,4,687.36,<function <lambda> at 0x7ebdb933e050>,3,12345
41,1442,2023-02-24 00:00:00,273,4,261.98,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
42,1236,2023-08-19 00:00:00,284,10,439.93,<function <lambda> at 0x7ebdb933e050>,N/A,
43,1357,2023-12-28 00:00:00,215,8,345.64,<function <lambda> at 0x7ebdb933e050>,4,PayPal
44,1348,2023-03-03 00:00:00,218,10,104.27,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
45,1196,2023-08-28 00:00:00,228,14,43.6,<function <lambda> at 0x7ebdb933e050>,N/A,12345
46,1072,2023-03-31 00:00:00,250,10,439.91,<function <lambda> at 0x7ebdb933e050>,4,12345
47,1058,2023-08-20 00:00:00,217,6,176.68,<function <lambda> at 0x7ebdb933e050>,4,PayPal
48,1239,2023-08-21 00:00:00,257,3,174.34,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
49,1001,InvalidDate,243,11,670.1,<function <lambda> at 0x7ebdb933e050>,1,12345
50,1448,2023-11-29 00:00:00,215,9,325.93,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
51,1359,2023-10-19 00:00:00,264,10,25.45,<function <lambda> at 0x7ebdb933e050>,4,PayPal
52,1187,2023-12-11 00:00:00,201,8,241.19,<function <lambda> at 0x7ebdb933e050>,4,PayPal
53,1306,2023-06-01 00:00:00,255,9,411.22,<function <lambda> at 0x7ebdb933e050>,N/A,12345
54,1029,2023-05-25 00:00:00,278,5,233.35,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
55,1266,2023-05-10 00:00:00,227,3,23.66,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
56,1475,2023-05-21 00:00:00,264,4,313.8,<function <lambda> at 0x7ebdb933e050>,5,
57,1107,2023-04-03 00:00:00,204,14,78.6,<function <lambda> at 0x7ebdb933e050>,5,
58,1331,2023-04-24 00:00:00,221,13,435.32,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
59,1422,2023-10-11 00:00:00,299,12,435.61,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
60,1089,2023-05-23 00:00:00,212,5,31.24,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
61,1204,2023-08-11 00:00:00,264,9,207.01,<function <lambda> at 0x7ebdb933e050>,1,PayPal
62,1378,2023-08-20 00:00:00,215,9,292.51,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
63,1455,2023-02-02 00:00:00,285,14,387.43,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
64,1446,2023-10-03 00:00:00,263,3,210.76,<function <lambda> at 0x7ebdb933e050>,1,12345
65,1447,2023-06-19 00:00:00,231,7,204.98,<function <lambda> at 0x7ebdb933e050>,N/A,
66,1444,2023-05-20 00:00:00,279,6,688.2,<function <lambda> at 0x7ebdb933e050>,N/A,
67,1380,2023-12-23 00:00:00,250,4,34.09,<function <lambda> at 0x7ebdb933e050>,4,PayPal
68,1437,2023-07-20 00:00:00,278,5,692.39,<function <lambda> at 0x7ebdb933e050>,3,PayPal
69,1219,2023-01-23 00:00:00,257,14,38.19,<function <lambda> at 0x7ebdb933e050>,3,12345
70,1377,2023-08-12 00:00:00,245,10,205.4,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
71,1093,2023-09-27 00:00:00,251,2,348.12,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
72,1456,2023-12-13 00:00:00,262,11,104.59,<function <lambda> at 0x7ebdb933e050>,3,12345
73,1102,2023-06-02 00:00:00,275,7,98.72,<function <lambda> at 0x7ebdb933e050>,5,12345
74,1222,2023-11-29 00:00:00,259,14,183.14,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
75,1185,2023-03-26 00:00:00,264,4,681.59,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
76,1468,2023-04-19 00:00:00,280,2,269.18,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
77,1183,2023-01-31 00:00:00,254,11,398.37,<function <lambda> at 0x7ebdb933e050>,1,12345
78,1494,2023-08-17 00:00:00,256,6,494.48,<function <lambda> at 0x7ebdb933e050>,1,12345
79,1161,2023-08-28 00:00:00,291,11,520.84,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
80,1246,2023-12-29 00:00:00,270,12,483.19,<function <lambda> at 0x7ebdb933e050>,N/A,
81,1030,2023-11-06 00:00:00,272,2,239.17,<function <lambda> at 0x7ebdb933e050>,3,
82,1051,2023-05-21 00:00:00,285,10,82.65,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
83,1344,2023-06-05 00:00:00,225,2,200.79,<function <lambda> at 0x7ebdb933e050>,2,PayPal
84,1075,2023-10-26 00:00:00,211,7,151.16,<function <lambda> at 0x7ebdb933e050>,5,12345
85,1384,2023-12-11 00:00:00,270,1,99.71,<function <lambda> at 0x7ebdb933e050>,N/A,Credit Card
86,1438,2023-04-09 00:00:00,245,7,22.03,<function <lambda> at 0x7ebdb933e050>,4,
87,1277,2023-02-16 00:00:00,246,10,Unknown,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
88,1039,2023-11-23 00:00:00,278,5,645.12,<function <lambda> at 0x7ebdb933e050>,4,12345
89,1100,2023-03-08 00:00:00,237,1,40.04,<function <lambda> at 0x7ebdb933e050>,5,PayPal
90,1110,2023-03-03 00:00:00,220,6,125.29,<function <lambda> at 0x7ebdb933e050>,4,12345
91,1384,2023-04-19 00:00:00,213,7,101.95,<function <lambda> at 0x7ebdb933e050>,3,12345
92,1320,2023-06-16 00:00:00,201,1,200.45,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
93,1248,2023-02-06 00:00:00,271,9,146.83,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
94,1190,2023-04-29 00:00:00,269,7,662.37,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
95,1489,2023-03-27 00:00:00,232,1,63.5,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
96,1181,2023-02-21 00:00:00,205,3,152.11,<function <lambda> at 0x7ebdb933e050>,4,PayPal
97,1425,2023-04-01 00:00:00,289,5,61.1,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
98,1404,2023-10-16 00:00:00,236,4,686.37,<function <lambda> at 0x7ebdb933e050>,5,12345
99,1334,2023-12-03 00:00:00,213,2,643.3,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
100,1208,2023-10-25 00:00:00,236,1,503.06,<function <lambda> at 0x7ebdb933e050>,5,12345
101,1021,2023-07-23 00:00:00,207,4,301.05,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
102,1165,InvalidDate,276,7,137.17,<function <lambda> at 0x7ebdb933e050>,2,12345
103,1098,2023-06-04 00:00:00,212,11,158.94,<function <lambda> at 0x7ebdb933e050>,3,PayPal
104,1492,2023-08-28 00:00:00,239,4,312.91,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
105,1207,2023-05-16 00:00:00,291,9,538.91,<function <lambda> at 0x7ebdb933e050>,1,
106,1007,2023-12-28 00:00:00,257,14,188.99,<function <lambda> at 0x7ebdb933e050>,N/A,
107,1189,2023-03-05 00:00:00,217,8,221.0,<function <lambda> at 0x7ebdb933e050>,N/A,12345
108,1174,2023-05-03 00:00:00,256,8,421.96,<function <lambda> at 0x7ebdb933e050>,3,PayPal
109,1272,2023-09-11 00:00:00,282,5,170.22,<function <lambda> at 0x7ebdb933e050>,4,12345
110,1016,2023-04-24 00:00:00,237,12,411.03,<function <lambda> at 0x7ebdb933e050>,1,PayPal
111,1089,2023-01-20 00:00:00,231,1,274.06,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
112,1140,2023-01-16 00:00:00,285,9,28.89,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
113,1144,2023-05-25 00:00:00,265,2,284.88,<function <lambda> at 0x7ebdb933e050>,3,PayPal
114,1165,2023-07-27 00:00:00,276,6,644.07,<function <lambda> at 0x7ebdb933e050>,5,12345
115,1336,2023-01-19 00:00:00,286,10,208.71,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
116,1495,2023-06-15 00:00:00,224,14,229.37,<function <lambda> at 0x7ebdb933e050>,N/A,12345
117,1077,2023-02-07 00:00:00,291,5,50.83,<function <lambda> at 0x7ebdb933e050>,3,
118,1428,2023-06-30 00:00:00,257,10,432.46,<function <lambda> at 0x7ebdb933e050>,N/A,
119,1261,2023-12-15 00:00:00,274,13,595.22,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
120,1162,2023-04-15 00:00:00,232,8,250.28,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
121,1365,2023-04-10 00:00:00,287,11,171.97,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
122,1013,2023-03-31 00:00:00,265,3,669.85,<function <lambda> at 0x7ebdb933e050>,N/A,
123,1238,InvalidDate,229,6,Unknown,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
124,1071,2023-11-28 00:00:00,280,6,399.18,<function <lambda> at 0x7ebdb933e050>,5,
125,1444,2023-03-20 00:00:00,233,10,217.34,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
126,1142,2023-03-14 00:00:00,285,3,Unknown,<function <lambda> at 0x7ebdb933e050>,1,12345
127,1309,2023-06-25 00:00:00,268,12,502.44,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
128,1282,2023-04-06 00:00:00,247,12,367.64,<function <lambda> at 0x7ebdb933e050>,1,
129,1268,2023-12-11 00:00:00,239,12,366.82,<function <lambda> at 0x7ebdb933e050>,2,PayPal
130,1240,2023-04-13 00:00:00,250,7,56.23,<function <lambda> at 0x7ebdb933e050>,1,PayPal
131,1414,2023-08-12 00:00:00,279,11,360.98,<function <lambda> at 0x7ebdb933e050>,4,PayPal
132,1244,2023-01-06 00:00:00,212,4,576.81,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
133,1162,2023-05-02 00:00:00,289,5,663.03,<function <lambda> at 0x7ebdb933e050>,2,PayPal
134,1059,2023-08-24 00:00:00,230,9,79.14,<function <lambda> at 0x7ebdb933e050>,1,PayPal
135,1005,2023-04-26 00:00:00,238,6,443.66,<function <lambda> at 0x7ebdb933e050>,3,
136,1196,2023-06-12 00:00:00,262,10,400.0,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
137,1469,2023-08-14 00:00:00,247,13,623.77,<function <lambda> at 0x7ebdb933e050>,4,12345
138,1057,2023-08-18 00:00:00,286,4,527.11,<function <lambda> at 0x7ebdb933e050>,2,12345
139,1304,2023-07-01 00:00:00,247,8,675.86,<function <lambda> at 0x7ebdb933e050>,1,PayPal
140,1406,2023-09-06 00:00:00,260,9,672.22,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
141,1216,2023-11-14 00:00:00,211,10,Unknown,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
142,1417,2023-07-29 00:00:00,277,5,509.12,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
143,1025,2023-05-24 00:00:00,255,2,373.71,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
144,1302,InvalidDate,217,6,154.15,<function <lambda> at 0x7ebdb933e050>,N/A,Credit Card
145,1004,2023-04-06 00:00:00,226,11,140.43,<function <lambda> at 0x7ebdb933e050>,4,
146,1473,2023-12-12 00:00:00,227,12,61.35,<function <lambda> at 0x7ebdb933e050>,4,PayPal
147,1019,2023-09-01 00:00:00,281,8,557.9,<function <lambda> at 0x7ebdb933e050>,5,
148,1389,InvalidDate,279,13,Unknown,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
149,1197,2023-07-03 00:00:00,251,5,600.59,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
150,1058,2023-05-01 00:00:00,215,1,427.78,<function <lambda> at 0x7ebdb933e050>,2,12345
151,1447,2023-11-28 00:00:00,276,8,473.18,<function <lambda> at 0x7ebdb933e050>,1,
152,1241,2023-04-02 00:00:00,257,9,207.71,<function <lambda> at 0x7ebdb933e050>,N/A,
153,1145,2023-03-11 00:00:00,292,1,322.82,<function <lambda> at 0x7ebdb933e050>,N/A,
154,1387,2023-05-13 00:00:00,208,8,291.56,<function <lambda> at 0x7ebdb933e050>,2,12345
155,1272,2023-10-06 00:00:00,225,10,168.8,<function <lambda> at 0x7ebdb933e050>,N/A,
156,1248,2023-05-17 00:00:00,227,12,583.6,<function <lambda> at 0x7ebdb933e050>,2,
157,1013,2023-11-10 00:00:00,276,2,437.35,<function <lambda> at 0x7ebdb933e050>,N/A,
158,1461,2023-07-06 00:00:00,235,4,31.02,<function <lambda> at 0x7ebdb933e050>,4,
159,1012,2023-08-09 00:00:00,208,13,574.84,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
160,1390,2023-02-15 00:00:00,246,2,78.7,<function <lambda> at 0x7ebdb933e050>,1,PayPal
161,1383,2023-10-05 00:00:00,277,2,285.57,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
162,1043,2023-07-11 00:00:00,250,10,402.02,<function <lambda> at 0x7ebdb933e050>,4,
163,1374,2023-01-08 00:00:00,275,3,10.32,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
164,1398,2023-10-03 00:00:00,256,14,458.77,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
165,1018,2023-06-28 00:00:00,231,8,463.49,<function <lambda> at 0x7ebdb933e050>,N/A,12345
166,1062,2023-11-30 00:00:00,266,4,458.51,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
167,1490,2023-02-08 00:00:00,256,7,118.61,<function <lambda> at 0x7ebdb933e050>,4,12345
168,1238,2023-10-20 00:00:00,253,12,182.73,<function <lambda> at 0x7ebdb933e050>,N/A,12345
169,1491,2023-06-27 00:00:00,215,10,176.93,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
170,1418,2023-06-11 00:00:00,261,3,672.25,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
171,1336,2023-11-27 00:00:00,283,10,51.93,<function <lambda> at 0x7ebdb933e050>,5,PayPal
172,1418,2023-04-14 00:00:00,295,12,302.99,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
173,1402,2023-06-10 00:00:00,255,14,610.52,<function <lambda> at 0x7ebdb933e050>,N/A,12345
174,1403,2023-10-14 00:00:00,222,14,539.78,<function <lambda> at 0x7ebdb933e050>,5,
175,1099,2023-05-03 00:00:00,216,13,576.6,<function <lambda> at 0x7ebdb933e050>,5,12345
176,1162,2023-02-23 00:00:00,279,11,680.74,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
177,1415,2023-02-03 00:00:00,237,14,274.15,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
178,1121,2023-08-30 00:00:00,271,3,220.21,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
179,1431,InvalidDate,282,2,26.31,<function <lambda> at 0x7ebdb933e050>,4,PayPal
180,1043,2023-11-14 00:00:00,229,13,109.26,<function <lambda> at 0x7ebdb933e050>,1,
181,1359,2023-01-23 00:00:00,257,12,395.6,<function <lambda> at 0x7ebdb933e050>,1,
182,1407,2023-02-15 00:00:00,297,6,114.57,<function <lambda> at 0x7ebdb933e050>,5,12345
183,1316,2023-11-08 00:00:00,277,6,516.73,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
184,1380,2023-05-15 00:00:00,221,1,30.88,<function <lambda> at 0x7ebdb933e050>,N/A,Credit Card
185,1144,2023-04-28 00:00:00,216,7,185.34,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
186,1326,2023-07-08 00:00:00,214,12,488.34,<function <lambda> at 0x7ebdb933e050>,N/A,12345
187,1362,2023-05-11 00:00:00,247,14,182.57,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
188,1049,2023-07-31 00:00:00,231,14,511.49,<function <lambda> at 0x7ebdb933e050>,N/A,Credit Card
189,1064,2023-04-23 00:00:00,276,4,697.13,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
190,1354,2023-02-13 00:00:00,284,13,558.97,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
191,1287,2023-05-08 00:00:00,239,11,242.58,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
192,1163,2023-12-30 00:00:00,296,12,630.91,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
193,1140,2023-06-07 00:00:00,256,3,40.57,<function <lambda> at 0x7ebdb933e050>,N/A,12345
194,1453,2023-09-30 00:00:00,257,13,508.88,<function <lambda> at 0x7ebdb933e050>,2,Debit Card
195,1313,2023-11-11 00:00:00,290,13,21.21,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
196,1127,2023-12-21 00:00:00,298,8,126.32,<function <lambda> at 0x7ebdb933e050>,N/A,12345
197,1397,2023-12-06 00:00:00,215,2,691.37,<function <lambda> at 0x7ebdb933e050>,2,12345
198,1420,2023-02-14 00:00:00,227,9,255.82,<function <lambda> at 0x7ebdb933e050>,4,
199,1367,2023-04-18 00:00:00,297,13,575.25,<function <lambda> at 0x7ebdb933e050>,4,
200,1462,2023-08-07 00:00:00,200,8,266.38,<function <lambda> at 0x7ebdb933e050>,5,12345
201,1238,2023-11-14 00:00:00,240,8,588.82,<function <lambda> at 0x7ebdb933e050>,5,PayPal
202,1323,2023-11-11 00:00:00,247,13,675.98,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
203,1295,2023-06-26 00:00:00,230,3,307.7,<function <lambda> at 0x7ebdb933e050>,1,12345
204,1186,2023-08-16 00:00:00,235,13,393.75,<function <lambda> at 0x7ebdb933e050>,4,
205,1207,2023-07-10 00:00:00,232,4,441.9,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
206,1219,2023-06-09 00:00:00,232,2,654.71,<function <lambda> at 0x7ebdb933e050>,5,12345
207,1399,2023-09-24 00:00:00,281,2,183.44,<function <lambda> at 0x7ebdb933e050>,4,12345
208,1189,2023-12-24 00:00:00,222,4,429.82,<function <lambda> at 0x7ebdb933e050>,N/A,
209,1387,2023-11-22 00:00:00,259,6,230.68,<function <lambda> at 0x7ebdb933e050>,2,
210,1428,2023-07-09 00:00:00,286,5,155.77,<function <lambda> at 0x7ebdb933e050>,4,PayPal
211,1345,2023-06-24 00:00:00,278,1,64.02,<function <lambda> at 0x7ebdb933e050>,4,
212,1283,2023-10-17 00:00:00,289,13,436.39,<function <lambda> at 0x7ebdb933e050>,2,
213,1351,2023-12-23 00:00:00,229,10,618.05,<function <lambda> at 0x7ebdb933e050>,5,
214,1236,2023-05-25 00:00:00,288,1,249.22,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
215,1193,2023-08-20 00:00:00,244,6,389.1,<function <lambda> at 0x7ebdb933e050>,3,12345
216,1286,2023-12-26 00:00:00,279,3,451.28,<function <lambda> at 0x7ebdb933e050>,3,12345
217,1258,2023-07-23 00:00:00,238,3,293.18,<function <lambda> at 0x7ebdb933e050>,5,
218,1245,2023-08-01 00:00:00,244,7,632.83,<function <lambda> at 0x7ebdb933e050>,5,PayPal
219,1135,2023-02-09 00:00:00,277,13,257.11,<function <lambda> at 0x7ebdb933e050>,5,
220,1279,2023-10-02 00:00:00,280,13,91.88,<function <lambda> at 0x7ebdb933e050>,5,PayPal
221,1270,2023-11-19 00:00:00,211,1,105.09,<function <lambda> at 0x7ebdb933e050>,4,12345
222,1170,2023-03-23 00:00:00,292,1,624.15,<function <lambda> at 0x7ebdb933e050>,3,PayPal
223,1158,2023-06-30 00:00:00,231,14,691.67,<function <lambda> at 0x7ebdb933e050>,2,PayPal
224,1200,2023-11-16 00:00:00,255,13,Unknown,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
225,1486,2023-03-24 00:00:00,223,10,104.8,<function <lambda> at 0x7ebdb933e050>,2,PayPal
226,1044,2023-10-30 00:00:00,212,3,340.14,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
227,1449,2023-09-19 00:00:00,219,14,498.12,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
228,1263,2023-09-29 00:00:00,278,8,430.62,<function <lambda> at 0x7ebdb933e050>,4,12345
229,1070,2023-07-19 00:00:00,255,1,666.02,<function <lambda> at 0x7ebdb933e050>,N/A,
230,1363,2023-08-28 00:00:00,252,10,573.36,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
231,1370,2023-06-29 00:00:00,267,13,608.94,<function <lambda> at 0x7ebdb933e050>,1,PayPal
232,1102,2023-06-20 00:00:00,253,4,381.46,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
233,1489,InvalidDate,233,9,232.46,<function <lambda> at 0x7ebdb933e050>,N/A,Debit Card
234,1124,2023-06-26 00:00:00,227,14,492.71,<function <lambda> at 0x7ebdb933e050>,4,
235,1312,2023-08-25 00:00:00,249,4,310.14,<function <lambda> at 0x7ebdb933e050>,1,
236,1463,2023-05-18 00:00:00,201,10,204.99,<function <lambda> at 0x7ebdb933e050>,5,12345
237,1482,2023-11-23 00:00:00,293,8,110.83,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
238,1285,2023-11-07 00:00:00,225,7,Unknown,<function <lambda> at 0x7ebdb933e050>,4,Debit Card
239,1457,2023-05-09 00:00:00,250,3,418.01,<function <lambda> at 0x7ebdb933e050>,N/A,Credit Card
240,1229,2023-02-18 00:00:00,246,7,400.31,<function <lambda> at 0x7ebdb933e050>,1,12345
241,1145,2023-06-13 00:00:00,225,7,86.0,<function <lambda> at 0x7ebdb933e050>,5,PayPal
242,1369,2023-10-04 00:00:00,283,10,401.14,<function <lambda> at 0x7ebdb933e050>,3,
243,1196,2023-10-20 00:00:00,291,3,122.05,<function <lambda> at 0x7ebdb933e050>,4,PayPal
244,1372,2023-04-26 00:00:00,283,2,Unknown,<function <lambda> at 0x7ebdb933e050>,1,
245,1220,2023-01-24 00:00:00,274,9,303.42,<function <lambda> at 0x7ebdb933e050>,5,PayPal
246,1422,2023-11-07 00:00:00,273,1,594.91,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
247,1059,2023-01-25 00:00:00,260,14,545.89,<function <lambda> at 0x7ebdb933e050>,N/A,12345
248,1097,2023-05-07 00:00:00,222,7,508.45,<function <lambda> at 0x7ebdb933e050>,5,
249,1170,2023-08-22 00:00:00,236,4,492.01,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
250,1381,2023-07-28 00:00:00,240,2,394.54,<function <lambda> at 0x7ebdb933e050>,1,Debit Card
251,1172,2023-04-03 00:00:00,251,2,47.47,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
252,1150,2023-04-04 00:00:00,282,8,460.57,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
253,1452,2023-11-23 00:00:00,281,7,329.51,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
254,1349,2023-08-13 00:00:00,248,12,331.34,<function <lambda> at 0x7ebdb933e050>,4,
255,1389,2023-10-07 00:00:00,226,7,268.42,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
256,1439,2023-01-11 00:00:00,205,5,650.7,<function <lambda> at 0x7ebdb933e050>,3,12345
257,1121,2023-11-25 00:00:00,273,14,178.37,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
258,1493,2023-01-12 00:00:00,265,10,225.03,<function <lambda> at 0x7ebdb933e050>,1,
259,1107,2023-02-04 00:00:00,223,8,674.31,<function <lambda> at 0x7ebdb933e050>,4,
260,1003,2023-08-16 00:00:00,237,14,568.06,<function <lambda> at 0x7ebdb933e050>,2,12345
